,1,2,3,4,5,correlation
clean towels,0.00158961451848,0.00151917964299,0.000918894083944,0.000652284586992,0.000329380764163,-1.0
couple hours,0.00158961451848,0.00124296516245,0.0012161833464,0.00119320351279,0.00091494656712,-1.0
eye contact,0.00158961451848,0.00113938473224,0.000594578524905,0.000381825124093,0.000109793588054,-1.0
front desk manager,0.00157489586553,0.00103580430204,0.000270262965866,0.000111365661194,8.53950129312e-05,-1.0
long day,0.00154545855963,0.00151917964299,0.0014053674225,0.00136820669467,0.0013663202069,-1.0
book room,0.00154545855963,0.00110485792218,0.000918894083944,0.000843197149039,0.000548967940272,-1.0
bad review,0.00151602125373,0.000586955771156,0.000297289262452,0.000222731322388,0.000207387888547,-1.0
security guards,0.00151602125373,0.000621482581224,0.000432420745385,0.000350006363752,0.000207387888547,-1.0
bad attitude,0.00148658394784,0.000725063011428,0.000351341855626,0.000127275041364,4.87971502464e-05,-1.0
air canada,0.00147186529489,0.00110485792218,0.000702683711251,0.000334096983582,8.53950129312e-05,-1.0
time share,0.00144242798899,0.000759589821496,0.000729710007838,0.000477281405116,0.000207387888547,-1.0
confirmation number,0.00138355337719,0.00051790215102,0.000243236669279,6.36375206822e-05,2.43985751232e-05,-1.0
good customer service,0.00138355337719,0.000794116631564,0.000729710007838,0.000604556446481,0.000536768652711,-1.0
manager manager,0.00136883472425,0.00051790215102,0.000162157779519,6.36375206822e-05,2.43985751232e-05,-1.0
room dirty,0.00133939741835,0.000828643441632,0.000216210372693,6.36375206822e-05,1.21992875616e-05,-1.0
minutes time,0.0013246787654,0.00100127749197,0.000756736304424,0.00058864706631,0.000402576489533,-1.0
dirty room,0.0013246787654,0.0008631702517,0.000270262965866,9.54562810233e-05,0.0,-1.0
insult injury,0.00130996011245,0.000828643441632,0.000216210372693,4.77281405116e-05,0.0,-1.0
manager duty,0.0012952414595,0.000586955771156,0.000270262965866,4.77281405116e-05,1.21992875616e-05,-1.0
bad day,0.00128052280655,0.00127749197252,0.000648631118078,0.000413643884434,0.000231786463671,-1.0
timeshare presentation,0.0012658041536,0.000932223871836,0.000756736304424,0.000556828305969,0.000158590738301,-1.0
dont bother,0.00125108550065,0.000794116631564,0.000351341855626,0.000206821942217,8.53950129312e-05,-1.0
waste money,0.00125108550065,0.000656009391292,0.000324315559039,0.000206821942217,4.87971502464e-05,-1.0
gas station,0.00123636684771,0.00069053620136,0.000594578524905,0.000397734504264,0.00030498218904,-1.0
bait switch,0.00122164819476,0.000379794910748,0.000135131482933,7.95469008527e-05,2.43985751232e-05,-1.0
room door,0.00120692954181,0.000932223871836,0.000513499635145,0.000318187603411,8.53950129312e-05,-1.0
flight attendants,0.00120692954181,0.000932223871836,0.000594578524905,0.000318187603411,0.000195188600986,-1.0
room smells,0.00117749223591,0.000621482581224,0.000297289262452,7.95469008527e-05,3.65978626848e-05,-1.0
hour line,0.00116277358296,0.000483375340952,0.000189184076106,0.000159093801705,6.0996437808e-05,-1.0
different car,0.00114805493001,0.000310741290612,0.000162157779519,0.000143184421535,0.000109793588054,-1.0
small children,0.00113333627706,0.00110485792218,0.000621604821491,0.000350006363752,0.00030498218904,-1.0
place dump,0.00113333627706,0.000138107240272,5.40525931732e-05,3.18187603411e-05,1.21992875616e-05,-1.0
charge credit card,0.00113333627706,0.000310741290612,8.10788897597e-05,6.36375206822e-05,1.21992875616e-05,-1.0
hours flight,0.00113333627706,0.000448848530884,0.000432420745385,0.000270459462899,0.000231786463671,-1.0
zero star,0.00108918031822,3.4526810068e-05,2.70262965866e-05,1.59093801705e-05,0.0,-1.0
front line,0.00107446166527,0.000794116631564,0.000486473338558,0.000318187603411,0.000256185038794,-1.0
credit card statement,0.00105974301232,0.000379794910748,0.000108105186346,6.36375206822e-05,1.21992875616e-05,-1.0
hotel management,0.00105974301232,0.000379794910748,0.000324315559039,6.36375206822e-05,3.65978626848e-05,-1.0
additional charge,0.00103030570642,0.000759589821496,0.000756736304424,0.000445462644775,0.00037817791441,-1.0
full tank,0.00103030570642,0.00069053620136,0.000351341855626,0.000159093801705,8.53950129312e-05,-1.0
drink order,0.00101558705347,0.000966750681904,0.000864841490771,0.000429553264605,0.000207387888547,-1.0
old dirty,0.00101558705347,0.000966750681904,0.000351341855626,6.36375206822e-05,3.65978626848e-05,-1.0
front desk complain,0.00101558705347,0.000897697061768,0.000432420745385,6.36375206822e-05,2.43985751232e-05,-1.0
negative review,0.00100086840052,0.000448848530884,0.000189184076106,0.000175003181876,0.000121992875616,-1.0
lady front desk,0.000986149747575,0.000966750681904,0.000297289262452,0.000254550082729,0.000170790025862,-1.0
credit cards,0.000986149747575,0.000759589821496,0.000621604821491,0.00030227822324,0.000158590738301,-1.0
car valet,0.000971431094626,0.00069053620136,0.000621604821491,0.000461372024946,0.000341580051725,-1.0
new key,0.000971431094626,0.00034526810068,0.000324315559039,0.000159093801705,3.65978626848e-05,-1.0
previous guests,0.000956712441677,0.000828643441632,0.000459447041972,0.000159093801705,7.31957253696e-05,-1.0
rental car center,0.000956712441677,0.000725063011428,0.000486473338558,0.000477281405116,0.000268384326355,-1.0
charge card,0.000956712441677,0.000448848530884,0.000162157779519,1.59093801705e-05,1.21992875616e-05,-1.0
long drive,0.000956712441677,0.0008631702517,0.000675657414664,0.000525009545628,0.000487971502464,-1.0
middle night,0.000956712441677,0.0008631702517,0.000621604821491,0.000461372024946,0.000207387888547,-1.0
car wasnt,0.000941993788728,0.000621482581224,0.000243236669279,0.000127275041364,0.000121992875616,-1.0
desk clerk,0.00092727513578,0.000897697061768,0.000567552228318,0.000238640702558,0.000109793588054,-1.0
positive thing,0.000912556482831,0.000725063011428,0.000162157779519,3.18187603411e-05,1.21992875616e-05,-1.0
security deposit,0.000912556482831,0.000483375340952,0.000378368152212,0.000222731322388,9.75943004929e-05,-1.0
whole situation,0.000897837829882,0.000414321720816,0.000216210372693,4.77281405116e-05,2.43985751232e-05,-1.0
shuttle airport,0.000883119176933,0.0008631702517,0.000621604821491,0.000397734504264,0.000341580051725,-1.0
need pay,0.000868400523984,0.000621482581224,0.000297289262452,0.000190912562047,8.53950129312e-05,-1.0
dont use,0.000868400523984,0.000310741290612,0.000243236669279,0.000190912562047,7.31957253696e-05,-1.0
extra fee,0.000868400523984,0.000621482581224,0.000594578524905,0.000413643884434,0.000195188600986,-1.0
benefit doubt,0.000868400523984,0.000759589821496,0.000459447041972,0.00030227822324,8.53950129312e-05,-1.0
full amount,0.000853681871035,0.000483375340952,0.000243236669279,6.36375206822e-05,4.87971502464e-05,-1.0
shuttle bus,0.000853681871035,0.000759589821496,0.000540525931732,0.000445462644775,0.000426975064656,-1.0
risk management,0.000853681871035,0.000207160860408,2.70262965866e-05,1.59093801705e-05,0.0,-1.0
red flag,0.000824244565137,0.000276214480544,0.000108105186346,1.59093801705e-05,0.0,-1.0
knock door,0.000824244565137,0.000759589821496,0.000432420745385,0.000175003181876,0.000170790025862,-1.0
bed sheets,0.000809525912189,0.00069053620136,0.000378368152212,0.000206821942217,9.75943004929e-05,-1.0
stand line,0.000809525912189,0.000794116631564,0.000540525931732,0.000127275041364,3.65978626848e-05,-1.0
person line,0.00079480725924,0.000379794910748,0.000243236669279,0.000127275041364,6.0996437808e-05,-1.0
formal complaint,0.00079480725924,0.00017263405034,8.10788897597e-05,1.59093801705e-05,0.0,-1.0
whole room,0.000780088606291,0.00069053620136,0.000405394448799,0.000334096983582,0.000170790025862,-1.0
maintenance guy,0.000780088606291,0.000483375340952,0.000432420745385,0.000127275041364,6.0996437808e-05,-1.0
front desk guy,0.000780088606291,0.000759589821496,0.000378368152212,0.000206821942217,0.000134192163178,-1.0
hours room,0.000780088606291,0.000586955771156,0.000432420745385,0.000350006363752,0.000121992875616,-1.0
fly spirit,0.000780088606291,0.000138107240272,8.10788897597e-05,6.36375206822e-05,1.21992875616e-05,-1.0
customer service rep,0.000765369953342,0.000379794910748,0.000324315559039,9.54562810233e-05,3.65978626848e-05,-1.0
pit boss,0.000765369953342,0.00069053620136,0.000540525931732,0.000270459462899,7.31957253696e-05,-1.0
hours check,0.000765369953342,0.00051790215102,0.000297289262452,0.000159093801705,7.31957253696e-05,-1.0
final bill,0.000765369953342,0.000656009391292,0.000378368152212,0.000190912562047,0.000109793588054,-1.0
additional fee,0.000750651300393,0.000586955771156,0.000459447041972,0.000397734504264,0.000243985751232,-1.0
sunday morning,0.000735932647444,0.000621482581224,0.000486473338558,0.000445462644775,0.000280583613917,-1.0
unpleasant experience,0.000735932647444,0.000448848530884,0.000297289262452,6.36375206822e-05,4.87971502464e-05,-1.0
didnt room,0.000735932647444,0.000621482581224,0.000297289262452,0.00028636884307,7.31957253696e-05,-1.0
didnt car,0.000721213994495,0.000207160860408,0.000108105186346,7.95469008527e-05,7.31957253696e-05,-1.0
minutes hour,0.000721213994495,0.000552428961088,0.000243236669279,0.000190912562047,6.0996437808e-05,-1.0
minutes shuttle,0.000721213994495,0.000448848530884,0.000243236669279,0.000190912562047,0.000121992875616,-1.0
room hadnt,0.000706495341546,0.000552428961088,0.000216210372693,9.54562810233e-05,3.65978626848e-05,-1.0
thousands dollars,0.000706495341546,0.000310741290612,0.000162157779519,4.77281405116e-05,1.21992875616e-05,-1.0
upgrade fee,0.000706495341546,0.000448848530884,0.000162157779519,9.54562810233e-05,8.53950129312e-05,-1.0
worth hassle,0.000706495341546,0.000552428961088,0.000135131482933,6.36375206822e-05,3.65978626848e-05,-1.0
doesnt work,0.000706495341546,0.000656009391292,0.000459447041972,9.54562810233e-05,7.31957253696e-05,-1.0
key room,0.000691776688597,0.000483375340952,0.000162157779519,0.000159093801705,2.43985751232e-05,-1.0
personal items,0.000691776688597,0.000448848530884,0.000297289262452,0.000222731322388,0.000158590738301,-1.0
bad food,0.000691776688597,0.000586955771156,0.000297289262452,0.000175003181876,8.53950129312e-05,-1.0
incident report,0.000677058035649,0.000103580430204,8.10788897597e-05,1.59093801705e-05,0.0,-1.0
check bag,0.000677058035649,0.000276214480544,0.000216210372693,0.000111365661194,6.0996437808e-05,-1.0
extra money stay,0.000677058035649,0.000621482581224,0.000108105186346,4.77281405116e-05,2.43985751232e-05,-1.0
lady phone,0.0006623393827,0.000310741290612,5.40525931732e-05,4.77281405116e-05,1.21992875616e-05,-1.0
place dont,0.000647620729751,0.00051790215102,0.000486473338558,0.000334096983582,0.000256185038794,-1.0
room online,0.000647620729751,0.000448848530884,0.000351341855626,0.000238640702558,0.000134192163178,-1.0
personal belongings,0.000647620729751,0.000241687670476,0.000162157779519,9.54562810233e-05,4.87971502464e-05,-1.0
sales pitch,0.000647620729751,0.000483375340952,0.000405394448799,0.000206821942217,0.000158590738301,-1.0
uber lyft,0.000647620729751,0.000207160860408,0.000189184076106,0.000159093801705,0.000134192163178,-1.0
cheap price,0.000647620729751,0.000621482581224,0.000540525931732,0.000365915743923,0.000170790025862,-1.0
cheap motel,0.000632902076802,0.000414321720816,0.000135131482933,0.000111365661194,0.0,-1.0
night manager,0.000632902076802,0.00034526810068,5.40525931732e-05,1.59093801705e-05,1.21992875616e-05,-1.0
sales people,0.000618183423853,0.000310741290612,0.000189184076106,0.000175003181876,9.75943004929e-05,-1.0
oh dont,0.000618183423853,0.000586955771156,0.000270262965866,0.000111365661194,0.000109793588054,-1.0
business company,0.000618183423853,0.000103580430204,5.40525931732e-05,3.18187603411e-05,2.43985751232e-05,-1.0
poor management,0.000603464770904,0.000448848530884,0.000162157779519,1.59093801705e-05,0.0,-1.0
security guy,0.000603464770904,0.000379794910748,0.000162157779519,7.95469008527e-05,3.65978626848e-05,-1.0
room isnt,0.000603464770904,0.000586955771156,0.000324315559039,0.000175003181876,0.000134192163178,-1.0
switch room,0.000603464770904,0.000586955771156,0.000189184076106,0.000111365661194,6.0996437808e-05,-1.0
minutes im,0.000588746117955,0.000310741290612,0.000135131482933,0.000111365661194,8.53950129312e-05,-1.0
catch flight,0.000588746117955,0.000207160860408,0.000189184076106,0.000111365661194,9.75943004929e-05,-1.0
room ac,0.000588746117955,0.000448848530884,0.000162157779519,0.000159093801705,2.43985751232e-05,-1.0
room floor,0.000588746117955,0.000586955771156,0.000567552228318,0.000254550082729,0.000146391450739,-1.0
doesnt matter,0.000574027465006,0.000483375340952,0.000297289262452,0.000190912562047,0.000146391450739,-1.0
keys car,0.000544590159109,0.000241687670476,0.000162157779519,0.000127275041364,6.0996437808e-05,-1.0
false advertisement,0.000544590159109,0.000138107240272,8.10788897597e-05,3.18187603411e-05,1.21992875616e-05,-1.0
things room,0.000544590159109,0.00034526810068,0.000324315559039,0.000270459462899,0.000134192163178,-1.0
huge inconvenience,0.00052987150616,0.000379794910748,0.000297289262452,0.000127275041364,0.0,-1.0
simple question,0.00052987150616,0.000276214480544,0.000189184076106,6.36375206822e-05,1.21992875616e-05,-1.0
room couldnt,0.00052987150616,0.000414321720816,0.000378368152212,0.000159093801705,0.000121992875616,-1.0
stuff room,0.00052987150616,0.000310741290612,0.000216210372693,0.000127275041364,0.000109793588054,-1.0
wasnt fault,0.00052987150616,0.000241687670476,0.000135131482933,9.54562810233e-05,2.43985751232e-05,-1.0
new sheets,0.00052987150616,0.000414321720816,0.000108105186346,3.18187603411e-05,1.21992875616e-05,-1.0
tire pressure,0.000515152853211,0.000241687670476,5.40525931732e-05,4.77281405116e-05,3.65978626848e-05,-1.0
ready bed,0.000515152853211,0.00034526810068,0.000297289262452,0.000111365661194,4.87971502464e-05,-1.0
rectify situation,0.000515152853211,0.000207160860408,8.10788897597e-05,7.95469008527e-05,3.65978626848e-05,-1.0
light bulbs,0.000500434200262,0.000483375340952,0.000324315559039,0.000206821942217,1.21992875616e-05,-1.0
line people,0.000500434200262,0.000448848530884,0.000189184076106,0.000159093801705,8.53950129312e-05,-1.0
couldnt care,0.000485715547313,0.00034526810068,0.000108105186346,4.77281405116e-05,3.65978626848e-05,-1.0
personal information,0.000485715547313,0.000138107240272,8.10788897597e-05,4.77281405116e-05,0.0,-1.0
name number,0.000485715547313,0.000103580430204,5.40525931732e-05,3.18187603411e-05,1.21992875616e-05,-1.0
money place,0.000485715547313,0.00034526810068,0.000243236669279,9.54562810233e-05,4.87971502464e-05,-1.0
recent experience,0.000485715547313,0.000310741290612,0.000216210372693,0.000143184421535,0.000109793588054,-1.0
time pay,0.000485715547313,0.000379794910748,0.000243236669279,4.77281405116e-05,1.21992875616e-05,-1.0
old furniture,0.000485715547313,0.000414321720816,0.000243236669279,9.54562810233e-05,1.21992875616e-05,-1.0
minutes manager,0.000470996894364,0.000310741290612,0.000108105186346,4.77281405116e-05,2.43985751232e-05,-1.0
car drive,0.000470996894364,0.000276214480544,0.000216210372693,0.000206821942217,8.53950129312e-05,-1.0
old lady,0.000456278241415,0.000310741290612,0.000297289262452,0.000270459462899,7.31957253696e-05,-1.0
service terrible,0.000456278241415,0.000448848530884,0.000189184076106,1.59093801705e-05,0.0,-1.0
terms conditions,0.000456278241415,0.000138107240272,8.10788897597e-05,4.77281405116e-05,3.65978626848e-05,-1.0
check front desk,0.000456278241415,0.000414321720816,0.000189184076106,0.000159093801705,6.0996437808e-05,-1.0
rude unhelpful,0.000456278241415,0.00017263405034,8.10788897597e-05,6.36375206822e-05,0.0,-1.0
waste time money,0.000456278241415,6.9053620136e-05,2.70262965866e-05,1.59093801705e-05,0.0,-1.0
rooms werent,0.000456278241415,0.000448848530884,0.000405394448799,0.000175003181876,0.000109793588054,-1.0
exact thing,0.000456278241415,0.000276214480544,0.000162157779519,7.95469008527e-05,6.0996437808e-05,-1.0
web site,0.000456278241415,0.00034526810068,0.000297289262452,0.000254550082729,0.000146391450739,-1.0
gate agent,0.000456278241415,0.000379794910748,0.000135131482933,3.18187603411e-05,1.21992875616e-05,-1.0
negative stars,0.00576971195596,0.000207160860408,0.000108105186346,0.0,0.0,-0.974679434481
buyer beware,0.00103030570642,0.00034526810068,2.70262965866e-05,0.0,0.0,-0.974679434481
place joke,0.000986149747575,6.9053620136e-05,2.70262965866e-05,0.0,0.0,-0.974679434481
manager didnt,0.00079480725924,0.000448848530884,0.000162157779519,0.0,0.0,-0.974679434481
horrible place,0.000706495341546,0.000241687670476,2.70262965866e-05,0.0,0.0,-0.974679434481
complete joke,0.000574027465006,0.000276214480544,0.000108105186346,0.0,0.0,-0.974679434481
customer service horrible,0.000559308812058,3.4526810068e-05,2.70262965866e-05,0.0,0.0,-0.974679434481
place awful,0.000544590159109,3.4526810068e-05,2.70262965866e-05,0.0,0.0,-0.974679434481
room filthy,0.000500434200262,0.000138107240272,8.10788897597e-05,0.0,0.0,-0.974679434481
proof insurance,0.000470996894364,0.000103580430204,2.70262965866e-05,0.0,0.0,-0.974679434481
front desk,0.059301452731,0.0601802299486,0.0310802410746,0.0168480336006,0.00964963646123,-0.9
clean room,0.00759482492162,0.00876980975728,0.00602686413881,0.00488417971236,0.00300102474016,-0.9
bad experience,0.00610824097379,0.0033491005766,0.00199994594741,0.0013522973145,0.00157370809545,-0.9
long story,0.00538702697929,0.00279667161551,0.00127023593957,0.000477281405116,0.000890547991997,-0.9
night stay,0.00525455910275,0.00652556710286,0.00456744412313,0.00416825760468,0.00236666178695,-0.9
hot water,0.00503377930852,0.0066982011532,0.00429718115727,0.00211594756268,0.000829551554189,-0.9
room wasnt,0.0038857243785,0.00545523599075,0.00375665522553,0.00200458190149,0.000731957253696,-0.9
whole time,0.00385628707261,0.00386700272762,0.00251344558255,0.00182957871961,0.00180549455912,-0.9
poor service,0.00375325650196,0.00272761799537,0.000648631118078,9.54562810233e-05,0.000121992875616,-0.9
dont stay,0.0032528223017,0.00138107240272,0.000594578524905,0.00030227822324,0.000317181476602,-0.9
resort fees,0.00317922903696,0.00462659254911,0.00308099781087,0.0018932162403,0.000817352266628,-0.9
room key,0.00316451038401,0.00328004695646,0.00213507743034,0.00179775995927,0.00107353730542,-0.9
terrible experience,0.00312035442516,0.000414321720816,0.000135131482933,7.95469008527e-05,0.000121992875616,-0.9
room room,0.00303204250747,0.00400510996789,0.00272965595524,0.00221140384371,0.00109793588054,-0.9
extra money,0.00292901193683,0.00145012602286,0.000891867787357,0.000509100165458,0.000561167227834,-0.9
rental place,0.00285541867208,0.00100127749197,0.000540525931732,0.000604556446481,0.000512370077587,-0.9
different hotel,0.00282598136619,0.00283119842558,0.00213507743034,0.00087501590938,0.000561167227834,-0.9
circus circus,0.00281126271324,0.00365984186721,0.00259452447231,0.00171821305842,0.000780754403943,-0.9
horrible service,0.00273766944849,0.000552428961088,0.000297289262452,1.59093801705e-05,2.43985751232e-05,-0.9
guest services,0.00242857773657,0.0024859303249,0.00105402556688,0.000509100165458,0.000243985751232,-0.9
numerous times,0.00241385908362,0.00165728688326,0.000810788897597,0.00085910652921,0.00060996437808,-0.9
phone number,0.00229610986003,0.000725063011428,0.000378368152212,0.000159093801705,0.000243985751232,-0.9
big mistake,0.00229610986003,0.00100127749197,0.000270262965866,0.000111365661194,0.000146391450739,-0.9
cigarette smoke,0.00228139120708,0.00352173462694,0.00194589335423,0.00147957235586,0.000573366515396,-0.9
room keys,0.00210476737169,0.00214066222422,0.0012161833464,0.00119320351279,0.00060996437808,-0.9
credit card company,0.00204589275989,0.000207160860408,5.40525931732e-05,6.36375206822e-05,4.87971502464e-05,-0.9
return car,0.00203117410695,0.000828643441632,0.000432420745385,0.000238640702558,0.000280583613917,-0.9
confirmation email,0.002016455454,0.000621482581224,0.000216210372693,0.000111365661194,0.000158590738301,-0.9
waste time,0.002016455454,0.00131201878258,0.000432420745385,0.000254550082729,0.000280583613917,-0.9
didnt work,0.0019281435363,0.00227876946449,0.00132428853274,0.000350006363752,0.000134192163178,-0.9
business burea,0.00188398757746,0.000103580430204,2.70262965866e-05,3.18187603411e-05,2.43985751232e-05,-0.9
late check,0.00186926892451,0.00217518903429,0.00159455149861,0.00119320351279,0.000792953691504,-0.9
whole thing,0.00173680104797,0.00186444774367,0.00110807816005,0.000747740868016,0.000670960815888,-0.9
rental agreement,0.00170736374207,0.00017263405034,0.000135131482933,6.36375206822e-05,0.000134192163178,-0.9
long lines,0.00166320778322,0.00196802817388,0.00116213075322,0.000938653430062,0.000744156541258,-0.9
room number,0.00163377047733,0.00241687670476,0.000918894083944,0.00058864706631,0.000256185038794,-0.9
check time,0.00158961451848,0.00203708179401,0.00129726223616,0.00109774723177,0.000597765090519,-0.9
switch rooms,0.00158961451848,0.00186444774367,0.000783762601011,0.000365915743923,0.000109793588054,-0.9
people front,0.00158961451848,0.00110485792218,0.000378368152212,0.000429553264605,0.000158590738301,-0.9
long wait,0.00156017721258,0.00200255498395,0.00151347260885,0.00116138475245,0.000548967940272,-0.9
toilet paper,0.00154545855963,0.00155370645306,0.00094592038053,0.000540918925799,0.000182989313424,-0.9
place sucks,0.00153073990668,0.000586955771156,5.40525931732e-05,0.0,1.21992875616e-05,-0.9
minutes line,0.00150130260079,0.00158823326313,0.000756736304424,0.00028636884307,0.000158590738301,-0.9
couple days,0.00150130260079,0.00155370645306,0.00124320964298,0.00111365661194,0.00100034158005,-0.9
minutes check,0.00150130260079,0.00176086731347,0.00124320964298,0.000493190785287,0.000243985751232,-0.9
rental cars,0.00148658394784,0.000725063011428,0.00094592038053,0.000652284586992,0.000451373639779,-0.9
cab driver,0.00142770933604,0.000552428961088,0.000297289262452,0.000206821942217,0.000231786463671,-0.9
yelp reviews,0.00141299068309,0.00107033111211,0.000918894083944,0.000731831487845,0.000780754403943,-0.9
air conditioner,0.00141299068309,0.00176086731347,0.000756736304424,0.000461372024946,0.000158590738301,-0.9
compact car,0.00138355337719,0.000621482581224,0.000297289262452,0.000318187603411,0.000182989313424,-0.9
hour delay,0.00138355337719,0.000310741290612,0.000189184076106,4.77281405116e-05,4.87971502464e-05,-0.9
loud music,0.0013541160713,0.00207160860408,0.00135131482933,0.000795469008527,0.000182989313424,-0.9
king room,0.00133939741835,0.0016227600732,0.00127023593957,0.000922744049892,0.000329380764163,-0.9
money stay,0.0012658041536,0.00138107240272,0.000405394448799,0.000175003181876,0.000121992875616,-0.9
different times,0.00125108550065,0.00117391154231,0.000540525931732,0.000270459462899,0.000353779339287,-0.9
bottom line,0.00125108550065,0.00158823326313,0.000648631118078,0.000461372024946,0.000243985751232,-0.9
flight attendant,0.00125108550065,0.0008631702517,0.000270262965866,0.000143184421535,0.000158590738301,-0.9
room hotel,0.00125108550065,0.00176086731347,0.00102699927029,0.000986381570574,0.000573366515396,-0.9
rental center,0.00125108550065,0.000794116631564,0.000459447041972,0.00057273768614,0.00037817791441,-0.9
front desk clerk,0.00123636684771,0.00124296516245,0.000783762601011,0.000429553264605,0.000243985751232,-0.9
front desk person,0.00123636684771,0.00148465283292,0.000567552228318,0.000381825124093,0.000170790025862,-0.9
staff rude,0.00120692954181,0.000656009391292,5.40525931732e-05,9.54562810233e-05,3.65978626848e-05,-0.9
front door,0.00120692954181,0.00138107240272,0.000972946677117,0.000938653430062,0.000792953691504,-0.9
line check,0.00119221088886,0.00124296516245,0.000972946677117,0.000747740868016,0.000390377201971,-0.9
rude staff,0.00116277358296,0.00034526810068,8.10788897597e-05,3.18187603411e-05,4.87971502464e-05,-0.9
times past,0.00114805493001,0.000932223871836,0.000783762601011,0.000509100165458,0.000524569365149,-0.9
room night,0.00114805493001,0.00117391154231,0.000756736304424,0.000652284586992,0.000390377201971,-0.9
room rate,0.00114805493001,0.00138107240272,0.00102699927029,0.000922744049892,0.000536768652711,-0.9
taxes fees,0.00113333627706,0.000448848530884,0.000567552228318,0.000334096983582,0.000170790025862,-0.9
front desk lady,0.00113333627706,0.00113938473224,0.000351341855626,0.000222731322388,0.000195188600986,-0.9
previous guest,0.00113333627706,0.00176086731347,0.000729710007838,0.000350006363752,3.65978626848e-05,-0.9
additional charges,0.00111861762412,0.000448848530884,0.000270262965866,0.000143184421535,0.000195188600986,-0.9
bus driver,0.00111861762412,0.000552428961088,0.000297289262452,0.000334096983582,0.000182989313424,-0.9
